name: model.layers.5.mlp.gate_proj.weight, type: torch.int8, ratio: 0.03157549351453781, diff: 3009.79833984375, norm: 95320.7109375
name: model.layers.5.mlp.up_proj.weight, type: torch.int8, ratio: 0.01339018251746893, diff: 3012.695556640625, norm: 224992.875
name: model.layers.5.mlp.down_proj.weight, type: torch.int8, ratio: 0.012959717772901058, diff: 2919.7529296875, norm: 225294.484375
name: model.layers.5.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 7.6103291511535645
name: model.layers.5.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 9.059097290039062
name: model.layers.6.self_attn.q_proj.weight, type: torch.int8, ratio: 0.021931670606136322, diff: 1311.6162109375, norm: 59804.6640625
name: model.layers.6.self_attn.k_proj.weight, type: torch.int8, ratio: 0.023786207661032677, diff: 495.2807312011719, norm: 20822.181640625
name: model.layers.6.self_attn.v_proj.weight, type: torch.int8, ratio: 0.016514984890818596, diff: 495.7065734863281, norm: 30015.5625
name: model.layers.6.self_attn.o_proj.weight, type: torch.int8, ratio: 0.01116643100976944, diff: 1224.555419921875, norm: 109663.9921875
name: model.layers.6.mlp.gate_proj.weight, type: torch.int8, ratio: 0.018881144002079964, diff: 3024.2138671875, norm: 160171.109375
name: model.layers.6.mlp.up_proj.weight, type: torch.int8, ratio: 0.011665062047541142, diff: 3025.4765625, norm: 259362.234375
name: model.layers.6.mlp.down_proj.weight, type: torch.int8, ratio: 0.014478218741714954, diff: 3292.766357421875, norm: 227428.96875
name: model.layers.6.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 7.414433002471924
name: model.layers.6.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 8.232597351074219
name: model.layers.7.self_attn.q_proj.weight, type: torch.int8, ratio: 0.020414508879184723, diff: 1322.0283203125, norm: 64759.25390625
name: model.layers.7.self_attn.k_proj.weight, type: torch.int8, ratio: 0.026427701115608215, diff: 500.3608703613281, norm: 18933.197265625
name: model.layers.7.self_attn.v_proj.weight, type: torch.int8, ratio: 0.01613454893231392, diff: 500.0, norm: 30989.400390625
name: model.layers.7.self_attn.o_proj.weight, type: torch.int8, ratio: 0.011183738708496094, diff: 1215.2032470703125, norm: 108658.046875
name: model.layers.7.mlp.gate_proj.weight, type: torch.int8, ratio: 0.015701964497566223, diff: 3042.0751953125, norm: 193738.5
name: model.layers.7.mlp.up_proj.weight, type: torch.int8, ratio: 0.011908970773220062, diff: 3042.554931640625, norm: 255484.296875
name: model.layers.7.mlp.down_proj.weight, type: torch.int8, ratio: 0.012775245122611523, diff: 2894.03466796875, norm: 226534.5625
name: model.layers.7.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 7.885835647583008
name: model.layers.7.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 8.201855659484863
name: model.layers.8.self_attn.q_proj.weight, type: torch.int8, ratio: 0.020786302164196968, diff: 1327.88330078125, norm: 63882.61328125
name: model.layers.8.self_attn.k_proj.weight, type: torch.int8, ratio: 0.023915385827422142, diff: 501.1706237792969, norm: 20955.9921875
name: model.layers.8.self_attn.v_proj.weight, type: torch.int8, ratio: 0.016448412090539932, diff: 502.3813171386719, norm: 30542.84765625
name: model.layers.8.self_attn.o_proj.weight, type: torch.int8, ratio: 0.010896306484937668, diff: 1163.6103515625, norm: 106789.4296875
name: model.layers.8.mlp.gate_proj.weight, type: torch.int8, ratio: 0.01610296219587326, diff: 3072.58349609375, norm: 190808.59375
name: model.layers.8.mlp.up_proj.weight, type: torch.int8, ratio: 0.011786840856075287, diff: 3074.63720703125, norm: 260853.375
name: model.layers.8.mlp.down_proj.weight, type: torch.int8, ratio: 0.013258990831673145, diff: 3001.9501953125, norm: 226408.640625
name: model.layers.8.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 8.299869537353516
name: model.layers.8.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 8.655384063720703
name: model.layers.9.self_attn.q_proj.weight, type: torch.int8, ratio: 0.022310614585876465, diff: 1337.313720703125, norm: 59940.6953125
name: model.layers.9.self_attn.k_proj.weight, type: torch.int8, ratio: 0.026414398103952408, diff: 504.5304870605469, norm: 19100.5859375
name: model.layers.9.self_attn.v_proj.weight, type: torch.int8, ratio: 0.01635012775659561, diff: 506.21142578125, norm: 30960.701171875
name: model.layers.9.self_attn.o_proj.weight, type: torch.int8, ratio: 0.01168234646320343, diff: 1265.4398193359375, norm: 108320.6875
name: model.layers.9.mlp.gate_proj.weight, type: torch.int8, ratio: 0.025641700252890587, diff: 3097.84033203125, norm: 120812.59375
name: model.layers.9.mlp.up_proj.weight, type: torch.int8, ratio: 0.011949743144214153, diff: 3100.2216796875, norm: 259438.359375
name: model.layers.9.mlp.down_proj.weight, type: torch.int8, ratio: 0.01311405748128891, diff: 2983.1494140625, norm: 227477.21875
name: model.layers.9.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 8.649894714355469
name: model.layers.9.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 9.649954795837402
name: model.layers.10.self_attn.q_proj.weight, type: torch.int8, ratio: 0.021172650158405304, diff: 1444.0799560546875, norm: 68204.96875
name: model.layers.10.self_attn.k_proj.weight, type: torch.int8, ratio: 0.02487841621041298, diff: 544.1846923828125, norm: 21873.767578125
name: model.layers.10.self_attn.v_proj.weight, type: torch.int8, ratio: 0.01641196757555008, diff: 546.0448608398438, norm: 33271.140625
name: model.layers.10.self_attn.o_proj.weight, type: torch.int8, ratio: 0.013368256390094757, diff: 1426.311279296875, norm: 106693.890625
name: model.layers.10.mlp.gate_proj.weight, type: torch.int8, ratio: 0.015019405633211136, diff: 3296.53662109375, norm: 219485.15625
name: model.layers.10.mlp.up_proj.weight, type: torch.int8, ratio: 0.01292139571160078, diff: 3299.001708984375, norm: 255313.109375
name: model.layers.10.mlp.down_proj.weight, type: torch.int8, ratio: 0.013199422508478165, diff: 2982.763427734375, norm: 225976.8125
name: model.layers.10.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 8.745315551757812
name: model.layers.10.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 9.270892143249512
name: model.layers.11.self_attn.q_proj.weight, type: torch.int8, ratio: 0.020316269248723984, diff: 1338.03662109375, norm: 65860.3515625
name: model.layers.11.self_attn.k_proj.weight, type: torch.int8, ratio: 0.023815395310521126, diff: 505.27716064453125, norm: 21216.408203125
name: model.layers.11.self_attn.v_proj.weight, type: torch.int8, ratio: 0.01596708595752716, diff: 505.25439453125, norm: 31643.49609375
name: model.layers.11.self_attn.o_proj.weight, type: torch.int8, ratio: 0.012251291424036026, diff: 1340.809814453125, norm: 109442.328125
name: model.layers.11.mlp.gate_proj.weight, type: torch.int8, ratio: 0.013335715048015118, diff: 3103.606689453125, norm: 232728.9375
name: model.layers.11.mlp.up_proj.weight, type: torch.int8, ratio: 0.01229009311646223, diff: 3104.25634765625, norm: 252582.0
name: model.layers.11.mlp.down_proj.weight, type: torch.int8, ratio: 0.012989446520805359, diff: 2965.18408203125, norm: 228276.40625
name: model.layers.11.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 9.367526054382324
name: model.layers.11.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 9.853924751281738
name: model.layers.12.self_attn.q_proj.weight, type: torch.int8, ratio: 0.022159870713949203, diff: 1422.113525390625, norm: 64175.171875
name: model.layers.12.self_attn.k_proj.weight, type: torch.int8, ratio: 0.025783300399780273, diff: 537.6783447265625, norm: 20853.744140625
name: model.layers.12.self_attn.v_proj.weight, type: torch.int8, ratio: 0.018431801348924637, diff: 537.3164672851562, norm: 29151.599609375
name: model.layers.12.self_attn.o_proj.weight, type: torch.int8, ratio: 0.012002373114228249, diff: 1346.0623779296875, norm: 112149.6875
name: model.layers.12.mlp.gate_proj.weight, type: torch.int8, ratio: 0.014967145398259163, diff: 3176.861572265625, norm: 212255.671875
name: model.layers.12.mlp.up_proj.weight, type: torch.int8, ratio: 0.012818432413041592, diff: 3178.604736328125, norm: 247971.40625
name: model.layers.12.mlp.down_proj.weight, type: torch.int8, ratio: 0.01481801737099886, diff: 3201.119140625, norm: 216028.84375
name: model.layers.12.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 9.752612113952637
name: model.layers.12.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.075998306274414
name: model.layers.13.self_attn.q_proj.weight, type: torch.int8, ratio: 0.020347528159618378, diff: 1367.041015625, norm: 67184.625
name: model.layers.13.self_attn.k_proj.weight, type: torch.int8, ratio: 0.024229779839515686, diff: 517.269775390625, norm: 21348.513671875
name: model.layers.13.self_attn.v_proj.weight, type: torch.int8, ratio: 0.018442688509821892, diff: 517.3789672851562, norm: 28053.337890625
name: model.layers.13.self_attn.o_proj.weight, type: torch.int8, ratio: 0.013016889803111553, diff: 1365.4603271484375, norm: 104899.125
name: model.layers.13.mlp.gate_proj.weight, type: torch.int8, ratio: 0.01466304063796997, diff: 3089.498291015625, norm: 210699.703125
name: model.layers.13.mlp.up_proj.weight, type: torch.int8, ratio: 0.012555357068777084, diff: 3090.73193359375, norm: 246168.375
name: model.layers.13.mlp.down_proj.weight, type: torch.int8, ratio: 0.01366905216127634, diff: 3029.111572265625, norm: 221603.625
name: model.layers.13.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.028325080871582
name: model.layers.13.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.085537910461426
name: model.layers.14.self_attn.q_proj.weight, type: torch.int8, ratio: 0.021129773929715157, diff: 1317.937744140625, norm: 62373.48828125
name: model.layers.14.self_attn.k_proj.weight, type: torch.int8, ratio: 0.02394610270857811, diff: 498.3241882324219, norm: 20810.2421875
name: model.layers.14.self_attn.v_proj.weight, type: torch.int8, ratio: 0.017158156260848045, diff: 498.7013244628906, norm: 29064.97265625
name: model.layers.14.self_attn.o_proj.weight, type: torch.int8, ratio: 0.012716766446828842, diff: 1325.89892578125, norm: 104263.84375
name: model.layers.14.mlp.gate_proj.weight, type: torch.int8, ratio: 0.014292082749307156, diff: 3000.369384765625, norm: 209932.265625
name: model.layers.14.mlp.up_proj.weight, type: torch.int8, ratio: 0.012204953469336033, diff: 3001.031982421875, norm: 245886.390625
name: model.layers.14.mlp.down_proj.weight, type: torch.int8, ratio: 0.014586237259209156, diff: 3110.8876953125, norm: 213275.546875
name: model.layers.14.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.441604614257812
name: model.layers.14.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.486221313476562
name: model.layers.15.self_attn.q_proj.weight, type: torch.int8, ratio: 0.02052667923271656, diff: 1298.1417236328125, norm: 63241.6796875
name: model.layers.15.self_attn.k_proj.weight, type: torch.int8, ratio: 0.023672152310609818, diff: 490.1244812011719, norm: 20704.685546875
name: model.layers.15.self_attn.v_proj.weight, type: torch.int8, ratio: 0.017458166927099228, diff: 490.6332702636719, norm: 28103.3671875
name: model.layers.15.self_attn.o_proj.weight, type: torch.int8, ratio: 0.012550021521747112, diff: 1382.156982421875, norm: 110131.84375
name: model.layers.15.mlp.gate_proj.weight, type: torch.int8, ratio: 0.014255614951252937, diff: 2967.202392578125, norm: 208142.71875
name: model.layers.15.mlp.up_proj.weight, type: torch.int8, ratio: 0.012429729104042053, diff: 2968.497802734375, norm: 238822.40625
name: model.layers.15.mlp.down_proj.weight, type: torch.int8, ratio: 0.013934635557234287, diff: 3090.382080078125, norm: 221777.03125
name: model.layers.15.input_layernorm.weight, type: torch.float16, ratio: 0.0, diff: 0.0, norm: 10.341140747070312
