name: model.layers.23.post_attention_layernorm.weight, type: torch.float16, ratio: 0.00872435700148344, diff: 0.09258504211902618, norm: 10.612248420715332
name: model.layers.24.input_layernorm.weight, type: torch.float16, ratio: 0.014315909706056118, diff: 0.15334159135818481, norm: 10.711271286010742
name: model.layers.24.post_attention_layernorm.weight, type: torch.float16, ratio: 0.00903831422328949, diff: 0.09619317948818207, norm: 10.642823219299316
name: model.layers.25.input_layernorm.weight, type: torch.float16, ratio: 0.053903352469205856, diff: 0.5893328785896301, norm: 10.93313980102539
name: model.layers.25.post_attention_layernorm.weight, type: torch.float16, ratio: 0.008630683645606041, diff: 0.09072420001029968, norm: 10.511820793151855
name: model.layers.26.input_layernorm.weight, type: torch.float16, ratio: 0.013386258855462074, diff: 0.1437448263168335, norm: 10.738237380981445
name: model.layers.26.post_attention_layernorm.weight, type: torch.float16, ratio: 0.008425706066191196, diff: 0.08812692016363144, norm: 10.459291458129883
name: model.layers.27.input_layernorm.weight, type: torch.float16, ratio: 0.01622777059674263, diff: 0.17160770297050476, norm: 10.57494068145752
name: model.layers.27.post_attention_layernorm.weight, type: torch.float16, ratio: 0.008128711953759193, diff: 0.08433734625577927, norm: 10.37524127960205
name: model.layers.28.input_layernorm.weight, type: torch.float16, ratio: 0.01547936163842678, diff: 0.16292737424373627, norm: 10.525458335876465
name: model.layers.28.post_attention_layernorm.weight, type: torch.float16, ratio: 0.008525005541741848, diff: 0.0882049947977066, norm: 10.346620559692383
name: model.layers.29.input_layernorm.weight, type: torch.float16, ratio: 0.01527748629450798, diff: 0.16037558019161224, norm: 10.49751091003418
name: model.layers.29.post_attention_layernorm.weight, type: torch.float16, ratio: 0.007941771298646927, diff: 0.08143533766269684, norm: 10.25405216217041
name: model.layers.30.input_layernorm.weight, type: torch.float16, ratio: 0.015884675085544586, diff: 0.16578085720539093, norm: 10.436528205871582
name: model.layers.30.post_attention_layernorm.weight, type: torch.float16, ratio: 0.008414245210587978, diff: 0.08562533557415009, norm: 10.17623519897461
