name: model.layers.5.self_attn.o_proj.weight, type: torch.int8, ratio: 0.38712430000305176, diff: 43536.0390625, norm: 112460.1015625
name: model.layers.5.mlp.gate_proj.weight, type: torch.int8, ratio: 0.12701837718486786, diff: 11850.8125, norm: 93299.984375
name: model.layers.5.mlp.up_proj.weight, type: torch.int8, ratio: 0.13084392249584198, diff: 29740.37109375, norm: 227296.53125
name: model.layers.5.mlp.down_proj.weight, type: torch.int8, ratio: 0.13358831405639648, diff: 30085.580078125, norm: 225211.15625
name: model.layers.5.input_layernorm.weight, type: torch.float16, ratio: 0.0882200077176094, diff: 0.6795885562896729, norm: 7.703338146209717
name: model.layers.5.post_attention_layernorm.weight, type: torch.float16, ratio: 0.02259012684226036, diff: 0.20782151818275452, norm: 9.199661254882812
name: model.layers.6.self_attn.q_proj.weight, type: torch.int8, ratio: 0.15522007644176483, diff: 9505.822265625, norm: 61240.93359375
name: model.layers.6.self_attn.k_proj.weight, type: torch.int8, ratio: 0.1287274956703186, diff: 2708.984130859375, norm: 21044.33203125
name: model.layers.6.self_attn.v_proj.weight, type: torch.int8, ratio: 0.12961213290691376, diff: 3893.98486328125, norm: 30043.365234375
name: model.layers.6.self_attn.o_proj.weight, type: torch.int8, ratio: 0.38510456681251526, diff: 42206.90234375, norm: 109598.5546875
name: model.layers.6.mlp.gate_proj.weight, type: torch.int8, ratio: 0.1484803408384323, diff: 23440.26953125, norm: 157867.828125
name: model.layers.6.mlp.up_proj.weight, type: torch.int8, ratio: 0.13719956576824188, diff: 35542.44140625, norm: 259056.515625
name: model.layers.6.mlp.down_proj.weight, type: torch.int8, ratio: 0.14212805032730103, diff: 32265.544921875, norm: 227017.421875
name: model.layers.6.input_layernorm.weight, type: torch.float16, ratio: 0.053549885749816895, diff: 0.4059133529663086, norm: 7.580097675323486
name: model.layers.6.post_attention_layernorm.weight, type: torch.float16, ratio: 0.019512569531798363, diff: 0.16472932696342468, norm: 8.442215919494629
name: model.layers.7.self_attn.q_proj.weight, type: torch.int8, ratio: 0.16478204727172852, diff: 10913.8125, norm: 66231.8046875
name: model.layers.7.self_attn.k_proj.weight, type: torch.int8, ratio: 0.15212984383106232, diff: 2904.038330078125, norm: 19089.208984375
name: model.layers.7.self_attn.v_proj.weight, type: torch.int8, ratio: 0.11335396021604538, diff: 3514.340087890625, norm: 31003.240234375
name: model.layers.7.self_attn.o_proj.weight, type: torch.int8, ratio: 0.3824068009853363, diff: 41529.203125, norm: 108599.5390625
name: model.layers.7.mlp.gate_proj.weight, type: torch.int8, ratio: 0.14821039140224457, diff: 28356.580078125, norm: 191326.53125
name: model.layers.7.mlp.up_proj.weight, type: torch.int8, ratio: 0.13699409365653992, diff: 35021.1796875, norm: 255640.078125
name: model.layers.7.mlp.down_proj.weight, type: torch.int8, ratio: 0.1415780484676361, diff: 32049.076171875, norm: 226370.375
name: model.layers.7.input_layernorm.weight, type: torch.float16, ratio: 0.8912498354911804, diff: 7.251804828643799, norm: 8.136669158935547
name: model.layers.7.post_attention_layernorm.weight, type: torch.float16, ratio: 0.020703453570604324, diff: 0.17544050514698029, norm: 8.473973274230957
name: model.layers.8.self_attn.q_proj.weight, type: torch.int8, ratio: 0.17010828852653503, diff: 11007.4599609375, norm: 64708.546875
name: model.layers.8.self_attn.k_proj.weight, type: torch.int8, ratio: 0.16036665439605713, diff: 3318.08447265625, norm: 20690.61328125
name: model.layers.8.self_attn.v_proj.weight, type: torch.int8, ratio: 0.1307430863380432, diff: 3987.44189453125, norm: 30498.30078125
name: model.layers.8.self_attn.o_proj.weight, type: torch.int8, ratio: 0.3834969401359558, diff: 41006.16015625, norm: 106926.953125
name: model.layers.8.mlp.gate_proj.weight, type: torch.int8, ratio: 0.150944322347641, diff: 28319.767578125, norm: 187617.3125
name: model.layers.8.mlp.up_proj.weight, type: torch.int8, ratio: 0.13718432188034058, diff: 35619.85546875, norm: 259649.609375
name: model.layers.8.mlp.down_proj.weight, type: torch.int8, ratio: 0.142222061753273, diff: 32177.533203125, norm: 226248.546875
name: model.layers.8.input_layernorm.weight, type: torch.float16, ratio: 0.3971928358078003, diff: 3.4408419132232666, norm: 8.6628999710083
name: model.layers.8.post_attention_layernorm.weight, type: torch.float16, ratio: 0.022491900250315666, diff: 0.20540422201156616, norm: 9.132364273071289
name: model.layers.9.self_attn.q_proj.weight, type: torch.int8, ratio: 0.17853212356567383, diff: 10673.8271484375, norm: 59786.58984375
name: model.layers.9.self_attn.k_proj.weight, type: torch.int8, ratio: 0.17009276151657104, diff: 3145.50341796875, norm: 18492.87109375
name: model.layers.9.self_attn.v_proj.weight, type: torch.int8, ratio: 0.11161118745803833, diff: 3477.04150390625, norm: 31153.162109375
name: model.layers.9.self_attn.o_proj.weight, type: torch.int8, ratio: 0.3833303153514862, diff: 41511.79296875, norm: 108292.484375
name: model.layers.9.mlp.gate_proj.weight, type: torch.int8, ratio: 0.1588500589132309, diff: 18988.455078125, norm: 119536.96875
name: model.layers.9.mlp.up_proj.weight, type: torch.int8, ratio: 0.14009778201580048, diff: 36218.078125, norm: 258519.984375
name: model.layers.9.mlp.down_proj.weight, type: torch.int8, ratio: 0.1405479609966278, diff: 31929.1640625, norm: 227176.296875
name: model.layers.9.input_layernorm.weight, type: torch.float16, ratio: 0.03446981683373451, diff: 0.31606513261795044, norm: 9.169330596923828
name: model.layers.9.post_attention_layernorm.weight, type: torch.float16, ratio: 0.023958081379532814, diff: 0.24640952050685883, norm: 10.285027503967285
name: model.layers.10.self_attn.q_proj.weight, type: torch.int8, ratio: 0.16684967279434204, diff: 11448.1806640625, norm: 68613.7421875
name: model.layers.10.self_attn.k_proj.weight, type: torch.int8, ratio: 0.1496405303478241, diff: 3232.818359375, norm: 21603.89453125
