name: model.layers.5.self_attn.v_proj.weight, type: torch.int8, ratio: 0.018027419224381447, diff: 554.8702392578125, norm: 30779.23828125
name: model.layers.5.self_attn.o_proj.weight, type: torch.int8, ratio: 0.010616190731525421, diff: 1193.3775634765625, norm: 112411.09375
name: model.layers.5.mlp.gate_proj.weight, type: torch.int8, ratio: 0.03169639781117439, diff: 3021.3232421875, norm: 95320.7109375
name: model.layers.5.mlp.up_proj.weight, type: torch.int8, ratio: 0.013683461584150791, diff: 3078.681396484375, norm: 224992.875
name: model.layers.5.mlp.down_proj.weight, type: torch.int8, ratio: 0.013187444768846035, diff: 2971.05859375, norm: 225294.484375
name: model.layers.5.input_layernorm.weight, type: torch.float16, ratio: 0.0017558076651766896, diff: 0.013362274505198002, norm: 7.6103291511535645
name: model.layers.5.post_attention_layernorm.weight, type: torch.float16, ratio: 2.9941853426862508e-05, diff: 0.0002712461573537439, norm: 9.059097290039062
name: model.layers.6.self_attn.q_proj.weight, type: torch.int8, ratio: 0.02210848592221737, diff: 1322.1905517578125, norm: 59804.6640625
name: model.layers.6.self_attn.k_proj.weight, type: torch.int8, ratio: 0.024180931970477104, diff: 503.499755859375, norm: 20822.181640625
name: model.layers.6.self_attn.v_proj.weight, type: torch.int8, ratio: 0.018354453146457672, diff: 550.9192504882812, norm: 30015.5625
name: model.layers.6.self_attn.o_proj.weight, type: torch.int8, ratio: 0.011443027295172215, diff: 1254.8880615234375, norm: 109663.9921875
name: model.layers.6.mlp.gate_proj.weight, type: torch.int8, ratio: 0.019091874361038208, diff: 3057.966552734375, norm: 160171.109375
name: model.layers.6.mlp.up_proj.weight, type: torch.int8, ratio: 0.012004429474473, diff: 3113.49560546875, norm: 259362.234375
name: model.layers.6.mlp.down_proj.weight, type: torch.int8, ratio: 0.01466963067650795, diff: 3336.299072265625, norm: 227428.96875
name: model.layers.6.input_layernorm.weight, type: torch.float16, ratio: 0.0016126645496115088, diff: 0.011956993490457535, norm: 7.414433002471924
name: model.layers.6.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0013134140754118562, diff: 0.010812808759510517, norm: 8.232597351074219
name: model.layers.7.self_attn.q_proj.weight, type: torch.int8, ratio: 0.02061501517891884, diff: 1335.0130615234375, norm: 64759.25390625
name: model.layers.7.self_attn.k_proj.weight, type: torch.int8, ratio: 0.02675449475646019, diff: 506.5481262207031, norm: 18933.197265625
name: model.layers.7.self_attn.v_proj.weight, type: torch.int8, ratio: 0.01753818802535534, diff: 543.4979248046875, norm: 30989.400390625
name: model.layers.7.self_attn.o_proj.weight, type: torch.int8, ratio: 0.011464666575193405, diff: 1245.728271484375, norm: 108658.046875
name: model.layers.7.mlp.gate_proj.weight, type: torch.int8, ratio: 0.01587829738855362, diff: 3076.237548828125, norm: 193738.5
name: model.layers.7.mlp.up_proj.weight, type: torch.int8, ratio: 0.012147095054388046, diff: 3103.39208984375, norm: 255484.296875
name: model.layers.7.mlp.down_proj.weight, type: torch.int8, ratio: 0.013037028722465038, diff: 2953.337646484375, norm: 226534.5625
name: model.layers.7.input_layernorm.weight, type: torch.float16, ratio: 0.000321695813909173, diff: 0.00253684027120471, norm: 7.885835647583008
name: model.layers.7.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0020717629231512547, diff: 0.016992300748825073, norm: 8.201855659484863
name: model.layers.8.self_attn.q_proj.weight, type: torch.int8, ratio: 0.02101476676762104, diff: 1342.478271484375, norm: 63882.61328125
name: model.layers.8.self_attn.k_proj.weight, type: torch.int8, ratio: 0.024513613432645798, diff: 513.7070922851562, norm: 20955.9921875
name: model.layers.8.self_attn.v_proj.weight, type: torch.int8, ratio: 0.018729563802480698, diff: 572.05419921875, norm: 30542.84765625
name: model.layers.8.self_attn.o_proj.weight, type: torch.int8, ratio: 0.01121777668595314, diff: 1197.93994140625, norm: 106789.4296875
