name: model.layers.5.self_attn.o_proj.weight, type: torch.int8, ratio: 0.3886708617210388, diff: 43709.96484375, norm: 112460.1015625
name: model.layers.5.mlp.gate_proj.weight, type: torch.int8, ratio: 0.12695522606372833, diff: 11844.919921875, norm: 93299.984375
name: model.layers.5.mlp.up_proj.weight, type: torch.int8, ratio: 0.130750373005867, diff: 29719.107421875, norm: 227296.53125
name: model.layers.5.mlp.down_proj.weight, type: torch.int8, ratio: 0.1335107833147049, diff: 30068.119140625, norm: 225211.15625
name: model.layers.5.input_layernorm.weight, type: torch.float16, ratio: 0.08634669333696365, diff: 0.6651577949523926, norm: 7.703338146209717
name: model.layers.5.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0225899089127779, diff: 0.20781950652599335, norm: 9.199661254882812
name: model.layers.6.self_attn.q_proj.weight, type: torch.int8, ratio: 0.1551828235387802, diff: 9503.541015625, norm: 61240.93359375
name: model.layers.6.self_attn.k_proj.weight, type: torch.int8, ratio: 0.12858176231384277, diff: 2705.917236328125, norm: 21044.33203125
name: model.layers.6.self_attn.v_proj.weight, type: torch.int8, ratio: 0.12918518483638763, diff: 3881.15771484375, norm: 30043.365234375
name: model.layers.6.self_attn.o_proj.weight, type: torch.int8, ratio: 0.38666123151779175, diff: 42377.51171875, norm: 109598.5546875
name: model.layers.6.mlp.gate_proj.weight, type: torch.int8, ratio: 0.14843709766864777, diff: 23433.443359375, norm: 157867.828125
name: model.layers.6.mlp.up_proj.weight, type: torch.int8, ratio: 0.13712604343891144, diff: 35523.39453125, norm: 259056.515625
name: model.layers.6.mlp.down_proj.weight, type: torch.int8, ratio: 0.14207956194877625, diff: 32254.537109375, norm: 227017.421875
name: model.layers.6.input_layernorm.weight, type: torch.float16, ratio: 0.05067017674446106, diff: 0.38408488035202026, norm: 7.580097675323486
name: model.layers.6.post_attention_layernorm.weight, type: torch.float16, ratio: 0.019033553078770638, diff: 0.16068536043167114, norm: 8.442215919494629
name: model.layers.7.self_attn.q_proj.weight, type: torch.int8, ratio: 0.16477088630199432, diff: 10913.0732421875, norm: 66231.8046875
name: model.layers.7.self_attn.k_proj.weight, type: torch.int8, ratio: 0.152069553732872, diff: 2902.887451171875, norm: 19089.208984375
name: model.layers.7.self_attn.v_proj.weight, type: torch.int8, ratio: 0.11294644325971603, diff: 3501.705810546875, norm: 31003.240234375
name: model.layers.7.self_attn.o_proj.weight, type: torch.int8, ratio: 0.38398823142051697, diff: 41700.9453125, norm: 108599.5390625
name: model.layers.7.mlp.gate_proj.weight, type: torch.int8, ratio: 0.1481648087501526, diff: 28347.859375, norm: 191326.53125
name: model.layers.7.mlp.up_proj.weight, type: torch.int8, ratio: 0.13693122565746307, diff: 35005.109375, norm: 255640.078125
name: model.layers.7.mlp.down_proj.weight, type: torch.int8, ratio: 0.14153297245502472, diff: 32038.87109375, norm: 226370.375
name: model.layers.7.input_layernorm.weight, type: torch.float16, ratio: 0.8879115581512451, diff: 7.224642753601074, norm: 8.136669158935547
name: model.layers.7.post_attention_layernorm.weight, type: torch.float16, ratio: 0.01955408789217472, diff: 0.16570082306861877, norm: 8.473973274230957
name: model.layers.8.self_attn.q_proj.weight, type: torch.int8, ratio: 0.17010203003883362, diff: 11007.0556640625, norm: 64708.546875
name: model.layers.8.self_attn.k_proj.weight, type: torch.int8, ratio: 0.16028262674808502, diff: 3316.345947265625, norm: 20690.61328125
name: model.layers.8.self_attn.v_proj.weight, type: torch.int8, ratio: 0.1302252560853958, diff: 3971.64892578125, norm: 30498.30078125
name: model.layers.8.self_attn.o_proj.weight, type: torch.int8, ratio: 0.385063499212265, diff: 41173.66796875, norm: 106926.953125
name: model.layers.8.mlp.gate_proj.weight, type: torch.int8, ratio: 0.15090245008468628, diff: 28311.912109375, norm: 187617.3125
name: model.layers.8.mlp.up_proj.weight, type: torch.int8, ratio: 0.13712571561336517, diff: 35604.63671875, norm: 259649.609375
name: model.layers.8.mlp.down_proj.weight, type: torch.int8, ratio: 0.14217916131019592, diff: 32167.828125, norm: 226248.546875
name: model.layers.8.input_layernorm.weight, type: torch.float16, ratio: 0.39614537358283997, diff: 3.431767702102661, norm: 8.6628999710083
name: model.layers.8.post_attention_layernorm.weight, type: torch.float16, ratio: 0.017492854967713356, diff: 0.15975111722946167, norm: 9.132364273071289
name: model.layers.9.self_attn.q_proj.weight, type: torch.int8, ratio: 0.1785486936569214, diff: 10674.8173828125, norm: 59786.58984375
name: model.layers.9.self_attn.k_proj.weight, type: torch.int8, ratio: 0.1700458824634552, diff: 3144.636474609375, norm: 18492.87109375
name: model.layers.9.self_attn.v_proj.weight, type: torch.int8, ratio: 0.11122184991836548, diff: 3464.912353515625, norm: 31153.162109375
name: model.layers.9.self_attn.o_proj.weight, type: torch.int8, ratio: 0.3849089741706848, diff: 41682.75, norm: 108292.484375
name: model.layers.9.mlp.gate_proj.weight, type: torch.int8, ratio: 0.15882356464862823, diff: 18985.287109375, norm: 119536.96875
name: model.layers.9.mlp.up_proj.weight, type: torch.int8, ratio: 0.1400308609008789, diff: 36200.77734375, norm: 258519.984375
name: model.layers.9.mlp.down_proj.weight, type: torch.int8, ratio: 0.1404910683631897, diff: 31916.240234375, norm: 227176.296875
name: model.layers.9.input_layernorm.weight, type: torch.float16, ratio: 0.034457895904779434, diff: 0.31595584750175476, norm: 9.169330596923828
name: model.layers.9.post_attention_layernorm.weight, type: torch.float16, ratio: 0.023959120735526085, diff: 0.246420219540596, norm: 10.285027503967285
name: model.layers.10.self_attn.q_proj.weight, type: torch.int8, ratio: 0.16683219373226166, diff: 11446.9814453125, norm: 68613.7421875
name: model.layers.10.self_attn.k_proj.weight, type: torch.int8, ratio: 0.14954619109630585, diff: 3230.780029296875, norm: 21603.89453125
name: model.layers.10.self_attn.v_proj.weight, type: torch.int8, ratio: 0.12734542787075043, diff: 4243.16259765625, norm: 33320.1015625
name: model.layers.10.self_attn.o_proj.weight, type: torch.int8, ratio: 0.38308772444725037, diff: 40865.390625, norm: 106673.71875
name: model.layers.10.mlp.gate_proj.weight, type: torch.int8, ratio: 0.15766069293022156, diff: 34240.890625, norm: 217180.90625
name: model.layers.10.mlp.up_proj.weight, type: torch.int8, ratio: 0.13830748200416565, diff: 35171.234375, norm: 254297.421875
name: model.layers.10.mlp.down_proj.weight, type: torch.int8, ratio: 0.14240974187850952, diff: 32157.373046875, norm: 225808.796875
name: model.layers.10.input_layernorm.weight, type: torch.float16, ratio: 0.49891388416290283, diff: 4.588168621063232, norm: 9.196313858032227
name: model.layers.10.post_attention_layernorm.weight, type: torch.float16, ratio: 0.017591089010238647, diff: 0.1728566586971283, norm: 9.826375961303711
name: model.layers.11.self_attn.q_proj.weight, type: torch.int8, ratio: 0.16833096742630005, diff: 11059.625, norm: 65701.6640625
name: model.layers.11.self_attn.k_proj.weight, type: torch.int8, ratio: 0.1535409390926361, diff: 3172.2802734375, norm: 20660.810546875
name: model.layers.11.self_attn.v_proj.weight, type: torch.int8, ratio: 0.13774219155311584, diff: 4314.5986328125, norm: 31323.724609375
name: model.layers.11.self_attn.o_proj.weight, type: torch.int8, ratio: 0.3843225836753845, diff: 42075.84375, norm: 109480.5390625
name: model.layers.11.mlp.gate_proj.weight, type: torch.int8, ratio: 0.16092073917388916, diff: 37219.1015625, norm: 231288.40625
name: model.layers.11.mlp.up_proj.weight, type: torch.int8, ratio: 0.14251498878002167, diff: 36022.109375, norm: 252760.140625
name: model.layers.11.mlp.down_proj.weight, type: torch.int8, ratio: 0.14735925197601318, diff: 33615.9375, norm: 228122.34375
name: model.layers.11.input_layernorm.weight, type: torch.float16, ratio: 0.4157083332538605, diff: 4.142794132232666, norm: 9.96562671661377
name: model.layers.11.post_attention_layernorm.weight, type: torch.float16, ratio: 0.018812131136655807, diff: 0.2006027102470398, norm: 10.66347599029541
name: model.layers.12.self_attn.q_proj.weight, type: torch.int8, ratio: 0.17377060651779175, diff: 10963.4951171875, norm: 63091.76953125
name: model.layers.12.self_attn.k_proj.weight, type: torch.int8, ratio: 0.1592029631137848, diff: 3181.819091796875, norm: 19985.9296875
name: model.layers.12.self_attn.v_proj.weight, type: torch.int8, ratio: 0.13132871687412262, diff: 3873.041259765625, norm: 29491.19921875
name: model.layers.12.self_attn.o_proj.weight, type: torch.int8, ratio: 0.38665860891342163, diff: 43351.85546875, norm: 112119.203125
name: model.layers.12.mlp.gate_proj.weight, type: torch.int8, ratio: 0.16328926384449005, diff: 31338.736328125, norm: 191921.59375
name: model.layers.12.mlp.up_proj.weight, type: torch.int8, ratio: 0.1454589068889618, diff: 35592.21875, norm: 244689.171875
name: model.layers.12.mlp.down_proj.weight, type: torch.int8, ratio: 0.14783975481987, diff: 31977.89453125, norm: 216301.0625
name: model.layers.12.input_layernorm.weight, type: torch.float16, ratio: 0.3381083607673645, diff: 3.573457717895508, norm: 10.568971633911133
name: model.layers.12.post_attention_layernorm.weight, type: torch.float16, ratio: 0.01915418729186058, diff: 0.2123754322528839, norm: 11.087676048278809
name: model.layers.13.self_attn.q_proj.weight, type: torch.int8, ratio: 0.17955845594406128, diff: 11899.126953125, norm: 66268.8203125
name: model.layers.13.self_attn.k_proj.weight, type: torch.int8, ratio: 0.1599288433790207, diff: 3243.847900390625, norm: 20283.0703125
name: model.layers.13.self_attn.v_proj.weight, type: torch.int8, ratio: 0.11602865904569626, diff: 3292.368408203125, norm: 28375.4765625
name: model.layers.13.self_attn.o_proj.weight, type: torch.int8, ratio: 0.3876631259918213, diff: 40674.9609375, norm: 104923.46875
name: model.layers.13.mlp.gate_proj.weight, type: torch.int8, ratio: 0.16644641757011414, diff: 33681.83984375, norm: 202358.453125
name: model.layers.13.mlp.up_proj.weight, type: torch.int8, ratio: 0.14762648940086365, diff: 36358.86328125, norm: 246289.5625
name: model.layers.13.mlp.down_proj.weight, type: torch.int8, ratio: 0.14929252862930298, diff: 33089.046875, norm: 221639.0
name: model.layers.13.input_layernorm.weight, type: torch.float16, ratio: 0.3465140461921692, diff: 3.8006198406219482, norm: 10.968154907226562
name: model.layers.13.post_attention_layernorm.weight, type: torch.float16, ratio: 0.022295787930488586, diff: 0.25175392627716064, norm: 11.291546821594238
name: model.layers.14.self_attn.q_proj.weight, type: torch.int8, ratio: 0.21002884209156036, diff: 12799.0126953125, norm: 60939.30859375
name: model.layers.14.self_attn.k_proj.weight, type: torch.int8, ratio: 0.22591181099414825, diff: 4435.76025390625, norm: 19634.919921875
name: model.layers.14.self_attn.v_proj.weight, type: torch.int8, ratio: 0.1336691975593567, diff: 3872.037109375, norm: 28967.30859375
name: model.layers.14.self_attn.o_proj.weight, type: torch.int8, ratio: 0.3903380036354065, diff: 40759.59765625, norm: 104421.2890625
name: model.layers.14.mlp.gate_proj.weight, type: torch.int8, ratio: 0.16995014250278473, diff: 34188.30859375, norm: 201166.6875
name: model.layers.14.mlp.up_proj.weight, type: torch.int8, ratio: 0.14919959008693695, diff: 36672.94921875, norm: 245797.921875
name: model.layers.14.mlp.down_proj.weight, type: torch.int8, ratio: 0.14994043111801147, diff: 32009.265625, norm: 213479.890625
name: model.layers.14.input_layernorm.weight, type: torch.float16, ratio: 0.7476856112480164, diff: 8.580402374267578, norm: 11.47594928741455
name: model.layers.14.post_attention_layernorm.weight, type: torch.float16, ratio: 0.019869081676006317, diff: 0.23674443364143372, norm: 11.915217399597168
name: model.layers.15.self_attn.q_proj.weight, type: torch.int8, ratio: 0.204354926943779, diff: 12816.7294921875, norm: 62717.98828125
name: model.layers.15.self_attn.k_proj.weight, type: torch.int8, ratio: 0.17659299075603485, diff: 3533.87255859375, norm: 20011.3984375
name: model.layers.15.self_attn.v_proj.weight, type: torch.int8, ratio: 0.12625668942928314, diff: 3478.849853515625, norm: 27553.787109375
name: model.layers.15.self_attn.o_proj.weight, type: torch.int8, ratio: 0.3879568874835968, diff: 42759.9375, norm: 110218.2734375
name: model.layers.15.mlp.gate_proj.weight, type: torch.int8, ratio: 0.16941562294960022, diff: 33673.6484375, norm: 198763.53125
name: model.layers.15.mlp.up_proj.weight, type: torch.int8, ratio: 0.14954906702041626, diff: 35654.9921875, norm: 238416.6875
name: model.layers.15.mlp.down_proj.weight, type: torch.int8, ratio: 0.15190674364566803, diff: 33734.01953125, norm: 222070.578125
name: model.layers.15.input_layernorm.weight, type: torch.float16, ratio: 2.1991512775421143, diff: 25.458776473999023, norm: 11.576637268066406
name: model.layers.15.post_attention_layernorm.weight, type: torch.float16, ratio: 0.020453212782740593, diff: 0.2526008188724518, norm: 12.350177764892578
name: model.layers.16.self_attn.q_proj.weight, type: torch.int8, ratio: 0.20982526242733002, diff: 12602.8896484375, norm: 60063.73828125
name: model.layers.16.self_attn.k_proj.weight, type: torch.int8, ratio: 0.21892885863780975, diff: 3969.745361328125, norm: 18132.58203125
name: model.layers.16.self_attn.v_proj.weight, type: torch.int8, ratio: 0.12175601720809937, diff: 3794.184814453125, norm: 31162.1953125
name: model.layers.16.self_attn.o_proj.weight, type: torch.int8, ratio: 0.3902033269405365, diff: 41088.22265625, norm: 105299.515625
name: model.layers.16.mlp.gate_proj.weight, type: torch.int8, ratio: 0.17312949895858765, diff: 35943.125, norm: 207608.328125
name: model.layers.16.mlp.up_proj.weight, type: torch.int8, ratio: 0.153385728597641, diff: 37732.52734375, norm: 245997.640625
name: model.layers.16.mlp.down_proj.weight, type: torch.int8, ratio: 0.1552642434835434, diff: 35152.14453125, norm: 226402.0625
name: model.layers.16.input_layernorm.weight, type: torch.float16, ratio: 0.1061835065484047, diff: 1.2729111909866333, norm: 11.987842559814453
name: model.layers.16.post_attention_layernorm.weight, type: torch.float16, ratio: 0.023085692897439003, diff: 0.28350797295570374, norm: 12.280678749084473
name: model.layers.17.self_attn.q_proj.weight, type: torch.int8, ratio: 0.20812080800533295, diff: 13672.55859375, norm: 65695.296875
name: model.layers.17.self_attn.k_proj.weight, type: torch.int8, ratio: 0.19458311796188354, diff: 4173.98681640625, norm: 21450.919921875
name: model.layers.17.self_attn.v_proj.weight, type: torch.int8, ratio: 0.12276002764701843, diff: 3586.89599609375, norm: 29218.76171875
name: model.layers.17.self_attn.o_proj.weight, type: torch.int8, ratio: 0.3897123634815216, diff: 41044.58984375, norm: 105320.21875
name: model.layers.17.mlp.gate_proj.weight, type: torch.int8, ratio: 0.17282651364803314, diff: 34605.0234375, norm: 200229.828125
name: model.layers.17.mlp.up_proj.weight, type: torch.int8, ratio: 0.15201450884342194, diff: 36741.48046875, norm: 241697.203125
name: model.layers.17.mlp.down_proj.weight, type: torch.int8, ratio: 0.1554691344499588, diff: 34008.09375, norm: 218744.984375
name: model.layers.17.input_layernorm.weight, type: torch.float16, ratio: 1.0955523252487183, diff: 13.141499519348145, norm: 11.995318412780762
name: model.layers.17.post_attention_layernorm.weight, type: torch.float16, ratio: 0.022111106663942337, diff: 0.26998916268348694, norm: 12.210567474365234
name: model.layers.18.self_attn.q_proj.weight, type: torch.int8, ratio: 0.20737741887569427, diff: 13538.4521484375, norm: 65284.12109375
name: model.layers.18.self_attn.k_proj.weight, type: torch.int8, ratio: 0.1915975660085678, diff: 3831.195556640625, norm: 19996.0546875
name: model.layers.18.self_attn.v_proj.weight, type: torch.int8, ratio: 0.10591056942939758, diff: 3221.464111328125, norm: 30416.833984375
name: model.layers.18.self_attn.o_proj.weight, type: torch.int8, ratio: 0.38692110776901245, diff: 39384.5703125, norm: 101789.6640625
name: model.layers.18.mlp.gate_proj.weight, type: torch.int8, ratio: 0.17238622903823853, diff: 31754.78125, norm: 184207.1875
name: model.layers.18.mlp.up_proj.weight, type: torch.int8, ratio: 0.14989618957042694, diff: 35499.0390625, norm: 236824.15625
