name: model.layers.23.input_layernorm.weight, type: torch.float16, ratio: 0.0009548842208459973, diff: 0.010191570967435837, norm: 10.673095703125
name: model.layers.23.post_attention_layernorm.weight, type: torch.float16, ratio: 0.00015642338257748634, diff: 0.0016600037924945354, norm: 10.612248420715332
name: model.layers.24.input_layernorm.weight, type: torch.float16, ratio: 0.005189851392060518, diff: 0.05558990687131882, norm: 10.711271286010742
name: model.layers.24.post_attention_layernorm.weight, type: torch.float16, ratio: 0.001274573733098805, diff: 0.0135650634765625, norm: 10.642823219299316
name: model.layers.25.input_layernorm.weight, type: torch.float16, ratio: 0.010440995916724205, diff: 0.11415286362171173, norm: 10.93313980102539
name: model.layers.25.post_attention_layernorm.weight, type: torch.float16, ratio: 0.00023604310990776867, diff: 0.002481242874637246, norm: 10.511820793151855
name: model.layers.26.input_layernorm.weight, type: torch.float16, ratio: 0.0019910309929400682, diff: 0.021380163729190826, norm: 10.738237380981445
name: model.layers.26.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0017434828914701939, diff: 0.018235595896840096, norm: 10.459291458129883
name: model.layers.27.input_layernorm.weight, type: torch.float16, ratio: 0.0004966057604178786, diff: 0.005251576192677021, norm: 10.57494068145752
name: model.layers.27.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0002622428582981229, diff: 0.0027208328247070312, norm: 10.37524127960205
name: model.layers.28.input_layernorm.weight, type: torch.float16, ratio: 0.00013849501556251198, diff: 0.001457723556086421, norm: 10.525458335876465
name: model.layers.28.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0002776237088255584, diff: 0.002872467041015625, norm: 10.346620559692383
name: model.layers.29.input_layernorm.weight, type: torch.float16, ratio: 0.0025429229717701674, diff: 0.026694361120462418, norm: 10.49751091003418
name: model.layers.29.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0002590178919490427, diff: 0.0026559829711914062, norm: 10.25405216217041
name: model.layers.30.input_layernorm.weight, type: torch.float16, ratio: 0.001983589492738247, diff: 0.020701786503195763, norm: 10.436528205871582
name: model.layers.30.post_attention_layernorm.weight, type: torch.float16, ratio: 0.000572791148442775, diff: 0.005828857421875, norm: 10.17623519897461
name: model.layers.31.input_layernorm.weight, type: torch.float16, ratio: 0.0010921035427600145, diff: 0.011366201564669609, norm: 10.407622337341309
name: model.layers.31.post_attention_layernorm.weight, type: torch.float16, ratio: 8.613258978584781e-05, diff: 0.000881195068359375, norm: 10.230681419372559
name: model.layers.32.input_layernorm.weight, type: torch.float16, ratio: 0.006343357264995575, diff: 0.06308750063180923, norm: 9.945443153381348
name: model.layers.32.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0007115979096852243, diff: 0.007566061336547136, norm: 10.632494926452637
name: model.layers.33.input_layernorm.weight, type: torch.float16, ratio: 0.0004768685030285269, diff: 0.005152616649866104, norm: 10.805109977722168
name: model.layers.33.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0003511644317768514, diff: 0.0037994384765625, norm: 10.81954288482666
name: model.layers.34.input_layernorm.weight, type: torch.float16, ratio: 0.00126090447884053, diff: 0.013778924942016602, norm: 10.927810668945312
name: model.layers.34.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0003855148097500205, diff: 0.0042362213134765625, norm: 10.988478660583496
name: model.layers.35.input_layernorm.weight, type: torch.float16, ratio: 0.0032896562479436398, diff: 0.03682081401348114, norm: 11.192906379699707
name: model.layers.35.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0002648506488185376, diff: 0.00296783447265625, norm: 11.205690383911133
name: model.layers.36.input_layernorm.weight, type: torch.float16, ratio: 0.00048223210615105927, diff: 0.005472470074892044, norm: 11.348207473754883
name: model.layers.36.post_attention_layernorm.weight, type: torch.float16, ratio: 0.00037070392863824964, diff: 0.004225847776979208, norm: 11.39952278137207
name: model.layers.37.input_layernorm.weight, type: torch.float16, ratio: 1.2670433534367476e-05, diff: 0.000148773193359375, norm: 11.74176025390625
name: model.layers.37.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0002565646718721837, diff: 0.0029529333114624023, norm: 11.50950813293457
name: model.layers.38.input_layernorm.weight, type: torch.float16, ratio: 0.0010392104741185904, diff: 0.012436071410775185, norm: 11.966845512390137
name: model.layers.38.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0018677249317988753, diff: 0.0223541259765625, norm: 11.968639373779297
name: model.layers.39.input_layernorm.weight, type: torch.float16, ratio: 0.00048767944099381566, diff: 0.005934320390224457, norm: 12.168485641479492
name: model.layers.39.post_attention_layernorm.weight, type: torch.float16, ratio: 0.00011917619849555194, diff: 0.0013866424560546875, norm: 11.63523006439209
name: model.layers.40.input_layernorm.weight, type: torch.float16, ratio: 0.00010191930778091773, diff: 0.0012270405422896147, norm: 12.03933334350586
name: model.layers.40.post_attention_layernorm.weight, type: torch.float16, ratio: 0.00019105870160274208, diff: 0.00223541259765625, norm: 11.700135231018066
name: model.layers.41.input_layernorm.weight, type: torch.float16, ratio: 0.0014928925083950162, diff: 0.01841690018773079, norm: 12.336387634277344
name: model.layers.41.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0001300352596445009, diff: 0.001514434814453125, norm: 11.646340370178223
name: model.layers.42.input_layernorm.weight, type: torch.float16, ratio: 0.00018537267169449478, diff: 0.0022161691449582577, norm: 11.955209732055664
name: model.layers.42.post_attention_layernorm.weight, type: torch.float16, ratio: 0.00016263309225905687, diff: 0.001880645751953125, norm: 11.56373405456543
name: model.layers.43.input_layernorm.weight, type: torch.float16, ratio: 5.7553981605451554e-05, diff: 0.00067901611328125, norm: 11.797900199890137
name: model.layers.43.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0004705159517470747, diff: 0.00536346435546875, norm: 11.399112701416016
name: model.layers.44.input_layernorm.weight, type: torch.float16, ratio: 0.0001449195115128532, diff: 0.001673723105341196, norm: 11.549328804016113
name: model.layers.44.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0005639169830828905, diff: 0.006343841552734375, norm: 11.249601364135742
name: model.layers.45.input_layernorm.weight, type: torch.float16, ratio: 0.0006475031259469688, diff: 0.0073911165818572044, norm: 11.414796829223633
name: model.layers.45.post_attention_layernorm.weight, type: torch.float16, ratio: 0.0004722521116491407, diff: 0.00521087646484375, norm: 11.034098625183105
name: model.layers.46.input_layernorm.weight, type: torch.float16, ratio: 0.00036766508128494024, diff: 0.00409698486328125, norm: 11.1432523727417
name: model.layers.46.post_attention_layernorm.weight, type: torch.float16, ratio: 2.8216127248015255e-05, diff: 0.00030517578125, norm: 10.815650939941406
name: model.layers.47.input_layernorm.weight, type: torch.float16, ratio: 6.3508991843264084e-06, diff: 6.87704305164516e-05, norm: 10.828455924987793
name: model.layers.47.post_attention_layernorm.weight, type: torch.float16, ratio: 0.00019359582802280784, diff: 0.0020751953125, norm: 10.719215393066406
name: model.layers.48.input_layernorm.weight, type: torch.float16, ratio: 5.202396096137818e-06, diff: 5.50163458683528e-05, norm: 10.575193405151367
