name: model.layers.5.self_attn.o_proj.weight, type: torch.int8, ratio: 0.011611430905759335, diff: 1304.87158203125, norm: 112378.1875
name: model.layers.5.mlp.gate_proj.weight, type: torch.int8, ratio: 0.032061707228422165, diff: 3077.318359375, norm: 95981.109375
name: model.layers.5.mlp.up_proj.weight, type: torch.int8, ratio: 0.015020303428173065, diff: 3386.18701171875, norm: 225440.65625
name: model.layers.5.mlp.down_proj.weight, type: torch.int8, ratio: 0.013966831378638744, diff: 3146.2890625, norm: 225268.640625
name: model.layers.5.input_layernorm.weight, type: torch.float16, ratio: 0.006230230908840895, diff: 0.04738594591617584, norm: 7.605808734893799
name: model.layers.5.post_attention_layernorm.weight, type: torch.float16, ratio: 2.9911414458183572e-05, diff: 0.00026995554799214005, norm: 9.025168418884277
name: model.layers.6.self_attn.q_proj.weight, type: torch.int8, ratio: 0.022813614457845688, diff: 1367.052978515625, norm: 59922.68359375
name: model.layers.6.self_attn.k_proj.weight, type: torch.int8, ratio: 0.02487645484507084, diff: 518.8583374023438, norm: 20857.40625
name: model.layers.6.self_attn.v_proj.weight, type: torch.int8, ratio: 0.019069315865635872, diff: 572.767822265625, norm: 30036.09765625
name: model.layers.6.self_attn.o_proj.weight, type: torch.int8, ratio: 0.012549828737974167, diff: 1375.77099609375, norm: 109624.6796875
name: model.layers.6.mlp.gate_proj.weight, type: torch.int8, ratio: 0.019874343648552895, diff: 3186.79931640625, norm: 160347.40625
name: model.layers.6.mlp.up_proj.weight, type: torch.int8, ratio: 0.013214916922152042, diff: 3425.85546875, norm: 259241.546875
name: model.layers.6.mlp.down_proj.weight, type: torch.int8, ratio: 0.015074795112013817, diff: 3428.123779296875, norm: 227407.65625
name: model.layers.6.input_layernorm.weight, type: torch.float16, ratio: 0.004076352808624506, diff: 0.030168605968356133, norm: 7.400882244110107
name: model.layers.6.post_attention_layernorm.weight, type: torch.float16, ratio: 0.002302068518474698, diff: 0.018904993310570717, norm: 8.212176322937012
name: model.layers.7.self_attn.q_proj.weight, type: torch.int8, ratio: 0.021378817036747932, diff: 1384.7403564453125, norm: 64771.609375
name: model.layers.7.self_attn.k_proj.weight, type: torch.int8, ratio: 0.02734081633388996, diff: 517.3509521484375, norm: 18922.29296875
name: model.layers.7.self_attn.v_proj.weight, type: torch.int8, ratio: 0.01831928640604019, diff: 568.2614135742188, norm: 31019.84375
name: model.layers.7.self_attn.o_proj.weight, type: torch.int8, ratio: 0.012896225787699223, diff: 1400.45458984375, norm: 108594.140625
name: model.layers.7.mlp.gate_proj.weight, type: torch.int8, ratio: 0.016762230545282364, diff: 3260.276611328125, norm: 194501.359375
name: model.layers.7.mlp.up_proj.weight, type: torch.int8, ratio: 0.013332396745681763, diff: 3405.107421875, norm: 255401.0
